"Month","Country","HBT","TreatmentLocation","DepartmentType","NumberOfAttendancesAll","NumberWithin4HoursAll","NumberOver4HoursAll","PercentageWithin4HoursAll","NumberOfAttendancesEpisode","NumberOfAttendancesEpisodeQF","NumberWithin4HoursEpisode","NumberWithin4HoursEpisodeQF","NumberOver4HoursEpisode","NumberOver4HoursEpisodeQF","PercentageWithin4HoursEpisode","PercentageWithin4HoursEpisodeQF","NumberOver8HoursEpisode","NumberOver8HoursEpisodeQF","PercentageOver8HoursEpisode","PercentageOver8HoursEpisodeQF","NumberOver12HoursEpisode","NumberOver12HoursEpisodeQF","PercentageOver12HoursEpisode","PercentageOver12HoursEpisodeQF"
"200707","S92000003","S08000017","Y106H","Minor Injury Unit or Other",83,83,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000017","Y109H","Minor Injury Unit or Other",7,7,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000017","Y110H","Minor Injury Unit or Other",85,85,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000017","Y144H","Emergency Department",1189,1167,22,98.1,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000017","Y146H","Emergency Department",2970,2862,108,96.4,2970,"",2862,"",108,"",96.4,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000029","F704H","Emergency Department",3912,3703,209,94.7,3912,"",3703,"",209,"",94.7,"",6,"",0.2,"",1,"",0,""
"200707","S92000003","S08000029","F708H","Minor Injury Unit or Other",174,174,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000029","F709H","Minor Injury Unit or Other",282,282,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000029","F805H","Emergency Department",3638,3570,68,98.1,3638,"",3570,"",68,"",98.1,"",2,"",0.1,"",0,"",0,""
"200707","S92000003","S08000019","V102H","Minor Injury Unit or Other",1772,1768,4,99.8,1772,"",1768,"",4,"",99.8,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000019","V201H","Emergency Department",4195,4003,192,95.4,4195,"",4003,"",192,"",95.4,"",5,"",0.1,"",1,"",0,""
"200707","S92000003","S08000020","N101H","Emergency Department",5312,5168,144,97.3,5312,"",5168,"",144,"",97.3,"",8,"",0.2,"",0,"",0,""
"200707","S92000003","S08000020","N121H","Emergency Department",1333,1324,9,99.3,1333,"",1324,"",9,"",99.3,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000020","N151H","Minor Injury Unit or Other",72,72,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N331H","Minor Injury Unit or Other",40,40,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N332H","Minor Injury Unit or Other",62,62,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N333H","Minor Injury Unit or Other",1114,1113,1,99.9,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N334H","Minor Injury Unit or Other",904,898,6,99.3,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N335H","Minor Injury Unit or Other",279,277,2,99.3,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N336H","Minor Injury Unit or Other",178,178,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N337H","Minor Injury Unit or Other",359,359,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N411H","Emergency Department",1925,1850,75,96.1,1925,"",1850,"",75,"",96.1,"",1,"",0.1,"",1,"",0.1,""
"200707","S92000003","S08000020","N431H","Minor Injury Unit or Other",107,107,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N432H","Minor Injury Unit or Other",37,37,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N433H","Minor Injury Unit or Other",113,113,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N434H","Minor Injury Unit or Other",62,62,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N451H","Minor Injury Unit or Other",32,32,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000020","N494H","Minor Injury Unit or Other",153,153,0,100,153,"",153,"",0,"",100,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000031","C206H","Minor Injury Unit or Other",1382,1354,28,98,1382,"",1354,"",28,"",98,"",1,"",0.1,"",1,"",0.1,""
"200707","S92000003","S08000031","C313H","Emergency Department",2693,2648,45,98.3,2693,"",2648,"",45,"",98.3,"",1,"",0,"",0,"",0,""
"200707","S92000003","S08000031","C418H","Emergency Department",5479,5324,155,97.2,5479,"",5324,"",155,"",97.2,"",4,"",0.1,"",0,"",0,""
"200707","S92000003","S08000031","G107H","Emergency Department",6200,5951,249,96,6200,"",5951,"",249,"",96,"",6,"",0.1,"",2,"",0,""
"200707","S92000003","S08000031","G207H","Emergency Department",3390,3264,126,96.3,3390,"",3264,"",126,"",96.3,"",1,"",0,"",0,"",0,""
"200707","S92000003","S08000031","G306H","Emergency Department",5864,5744,120,98,5864,"",5744,"",120,"",98,"",1,"",0,"",0,"",0,""
"200707","S92000003","S08000031","G405H","Emergency Department",4186,3952,234,94.4,4186,"",3952,"",234,"",94.4,"",4,"",0.1,"",0,"",0,""
"200707","S92000003","S08000031","G513H","Emergency Department",2981,2942,39,98.7,2981,"",2942,"",39,"",98.7,"",1,"",0,"",0,"",0,""
"200707","S92000003","S08000031","G516H","Emergency Department",5040,4529,511,89.9,5040,"",4529,"",511,"",89.9,"",40,"",0.8,"",6,"",0.1,""
"200707","S92000003","S08000022","C103B","Minor Injury Unit or Other",401,401,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","C106H","Minor Injury Unit or Other",615,612,3,99.5,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","C108H","Minor Injury Unit or Other",110,110,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","C110H","Minor Injury Unit or Other",468,467,1,99.8,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","C113H","Minor Injury Unit or Other",369,363,6,98.4,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","C117J","Minor Injury Unit or Other",67,65,2,97,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","C121H","Emergency Department",616,611,5,99.2,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","C122H","Minor Injury Unit or Other",211,211,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H101H","Minor Injury Unit or Other",199,199,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H103H","Emergency Department",496,488,8,98.4,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H106H","Minor Injury Unit or Other",73,72,1,98.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H202H","Emergency Department",2618,2553,65,97.5,2618,"",2553,"",65,"",97.5,"",3,"",0.1,"",1,"",0,""
"200707","S92000003","S08000022","H208H","Minor Injury Unit or Other",281,280,1,99.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H210H","Minor Injury Unit or Other",113,111,2,98.2,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H212H","Emergency Department",896,879,17,98.1,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H214H","Minor Injury Unit or Other",300,296,4,98.7,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H215H","Minor Injury Unit or Other",153,152,1,99.3,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H217H","Minor Injury Unit or Other",185,185,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H219H","Minor Injury Unit or Other",91,91,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000022","H227B","Minor Injury Unit or Other",202,202,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000032","L106H","Emergency Department",5662,5443,219,96.1,5662,"",5443,"",219,"",96.1,"",3,"",0.1,"",0,"",0,""
"200707","S92000003","S08000032","L206H","Minor Injury Unit or Other",165,165,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000032","L207H","Minor Injury Unit or Other",166,166,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000032","L302H","Emergency Department",4545,4270,275,93.9,4545,"",4270,"",275,"",93.9,"",87,"",1.9,"",45,"",1,""
"200707","S92000003","S08000032","L308H","Emergency Department",5555,5351,204,96.3,5555,"",5351,"",204,"",96.3,"",44,"",0.8,"",20,"",0.4,""
"200707","S92000003","S08000024","S116H","Minor Injury Unit or Other",2761,2600,161,94.2,2761,"",2600,"",161,"",94.2,"",4,"",0.1,"",0,"",0,""
"200707","S92000003","S08000024","S308H","Emergency Department",3900,3642,258,93.4,3900,"",3642,"",258,"",93.4,"",2,"",0.1,"",0,"",0,""
"200707","S92000003","S08000024","S314H","Emergency Department",8947,8468,479,94.6,8947,"",8468,"",479,"",94.6,"",19,"",0.2,"",0,"",0,""
"200707","S92000003","S08000024","S319H","Emergency Department",2620,2603,17,99.4,2620,"",2603,"",17,"",99.4,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000025","R103H","Minor Injury Unit or Other",225,225,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000026","Z102H","Emergency Department",802,791,11,98.6,802,"",791,"",11,"",98.6,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000030","T101H","Emergency Department",3940,3927,13,99.7,3940,"",3927,"",13,"",99.7,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000030","T202H","Emergency Department",2208,2192,16,99.3,2208,"",2192,"",16,"",99.3,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000030","T208H","Minor Injury Unit or Other",78,78,0,100,78,"",78,"",0,"",100,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000030","T209H","Minor Injury Unit or Other",167,166,1,99.4,167,"",166,"",1,"",99.4,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000030","T304H","Minor Injury Unit or Other",847,846,1,99.9,847,"",846,"",1,"",99.9,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000030","T305H","Minor Injury Unit or Other",228,228,0,100,228,"",228,"",0,"",100,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000030","T319H","Minor Injury Unit or Other",504,504,0,100,504,"",504,"",0,"",100,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000030","T357C","Minor Injury Unit or Other",444,444,0,100,444,"",444,"",0,"",100,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000028","W106H","Minor Injury Unit or Other",57,57,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000028","W107H","Emergency Department",776,762,14,98.2,776,"",762,"",14,"",98.2,"",1,"",0.1,"",0,"",0,""
"200707","S92000003","S08000028","W108H","Minor Injury Unit or Other",135,135,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000015","A101H","Minor Injury Unit or Other",265,265,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000015","A111H","Emergency Department",5655,5508,147,97.4,5655,"",5508,"",147,"",97.4,"",5,"",0.1,"",3,"",0.1,""
"200708","S92000003","S08000015","A207H","Minor Injury Unit or Other",86,86,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000015","A210H","Emergency Department",3558,3388,170,95.2,3558,"",3388,"",170,"",95.2,"",1,"",0,"",0,"",0,""
"200708","S92000003","S08000016","B103H","Minor Injury Unit or Other",14,14,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000016","B105H","Minor Injury Unit or Other",106,106,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000016","B114H","Minor Injury Unit or Other",28,28,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000016","B118H","Minor Injury Unit or Other",122,122,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000016","B120H","Emergency Department",2005,1993,12,99.4,2005,"",1993,"",12,"",99.4,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000017","Y101H","Minor Injury Unit or Other",92,92,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000017","Y106H","Minor Injury Unit or Other",77,77,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000017","Y109H","Minor Injury Unit or Other",10,10,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000017","Y110H","Minor Injury Unit or Other",62,62,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000017","Y144H","Emergency Department",1269,1248,21,98.3,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000017","Y146H","Emergency Department",3010,2903,107,96.4,3010,"",2903,"",107,"",96.4,"",2,"",0.1,"",0,"",0,""
"200708","S92000003","S08000029","F704H","Emergency Department",3877,3745,132,96.6,3877,"",3745,"",132,"",96.6,"",8,"",0.2,"",3,"",0.1,""
"200708","S92000003","S08000029","F708H","Minor Injury Unit or Other",155,155,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000029","F709H","Minor Injury Unit or Other",251,250,1,99.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000029","F805H","Emergency Department",3507,3400,107,96.9,3507,"",3400,"",107,"",96.9,"",3,"",0.1,"",0,"",0,""
"200708","S92000003","S08000019","V102H","Minor Injury Unit or Other",1872,1870,2,99.9,1872,"",1870,"",2,"",99.9,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000019","V201H","Emergency Department",4370,4055,315,92.8,4370,"",4055,"",315,"",92.8,"",10,"",0.2,"",0,"",0,""
"200708","S92000003","S08000020","N101H","Emergency Department",5421,5261,160,97,5421,"",5261,"",160,"",97,"",5,"",0.1,"",1,"",0,""
"200708","S92000003","S08000020","N121H","Emergency Department",1412,1402,10,99.3,1412,"",1402,"",10,"",99.3,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000020","N151H","Minor Injury Unit or Other",72,72,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N331H","Minor Injury Unit or Other",48,48,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N332H","Minor Injury Unit or Other",93,93,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N333H","Minor Injury Unit or Other",1105,1104,1,99.9,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N334H","Minor Injury Unit or Other",806,802,4,99.5,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N335H","Minor Injury Unit or Other",256,256,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N336H","Minor Injury Unit or Other",178,178,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N337H","Minor Injury Unit or Other",385,385,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N411H","Emergency Department",1905,1791,114,94,1905,"",1791,"",114,"",94,"",6,"",0.3,"",0,"",0,""
"200708","S92000003","S08000020","N431H","Minor Injury Unit or Other",104,104,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N432H","Minor Injury Unit or Other",45,45,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N433H","Minor Injury Unit or Other",118,118,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N434H","Minor Injury Unit or Other",62,62,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N451H","Minor Injury Unit or Other",36,36,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000020","N494H","Minor Injury Unit or Other",150,150,0,100,150,"",150,"",0,"",100,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000031","C206H","Minor Injury Unit or Other",1407,1388,19,98.6,1407,"",1388,"",19,"",98.6,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000031","C313H","Emergency Department",2791,2732,59,97.9,2791,"",2732,"",59,"",97.9,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000031","C418H","Emergency Department",5691,5548,143,97.5,5691,"",5548,"",143,"",97.5,"",2,"",0,"",0,"",0,""
"200708","S92000003","S08000031","G107H","Emergency Department",6248,5881,367,94.1,6248,"",5881,"",367,"",94.1,"",9,"",0.1,"",2,"",0,""
"200708","S92000003","S08000031","G207H","Emergency Department",3627,3348,279,92.3,3627,"",3348,"",279,"",92.3,"",23,"",0.6,"",4,"",0.1,""
"200708","S92000003","S08000031","G306H","Emergency Department",5964,5844,120,98,5964,"",5844,"",120,"",98,"",2,"",0,"",0,"",0,""
"200708","S92000003","S08000031","G405H","Emergency Department",4162,3813,349,91.6,4162,"",3813,"",349,"",91.6,"",7,"",0.2,"",0,"",0,""
"200708","S92000003","S08000031","G513H","Emergency Department",3007,2962,45,98.5,3007,"",2962,"",45,"",98.5,"",2,"",0.1,"",1,"",0,""
"200708","S92000003","S08000031","G516H","Emergency Department",5177,4733,444,91.4,5177,"",4733,"",444,"",91.4,"",26,"",0.5,"",3,"",0.1,""
"200708","S92000003","S08000022","C103B","Minor Injury Unit or Other",423,422,1,99.8,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","C106H","Minor Injury Unit or Other",628,627,1,99.8,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","C108H","Minor Injury Unit or Other",94,94,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","C110H","Minor Injury Unit or Other",364,364,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","C113H","Minor Injury Unit or Other",367,361,6,98.4,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","C117J","Minor Injury Unit or Other",74,73,1,98.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","C121H","Emergency Department",631,629,2,99.7,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","C122H","Minor Injury Unit or Other",250,249,1,99.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H101H","Minor Injury Unit or Other",228,227,1,99.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H103H","Emergency Department",578,573,5,99.1,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H106H","Minor Injury Unit or Other",66,66,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H202H","Emergency Department",2805,2717,88,96.9,2805,"",2717,"",88,"",96.9,"",3,"",0.1,"",0,"",0,""
"200708","S92000003","S08000022","H208H","Minor Injury Unit or Other",283,281,2,99.3,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H210H","Minor Injury Unit or Other",107,107,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H212H","Emergency Department",936,921,15,98.4,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H214H","Minor Injury Unit or Other",304,287,17,94.4,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H215H","Minor Injury Unit or Other",150,146,4,97.3,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H217H","Minor Injury Unit or Other",225,225,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H219H","Minor Injury Unit or Other",104,103,1,99,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000022","H227B","Minor Injury Unit or Other",218,218,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000032","L106H","Emergency Department",5692,5498,194,96.6,5692,"",5498,"",194,"",96.6,"",6,"",0.1,"",0,"",0,""
"200708","S92000003","S08000032","L206H","Minor Injury Unit or Other",174,174,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000032","L207H","Minor Injury Unit or Other",140,140,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000032","L302H","Emergency Department",4833,4717,116,97.6,4833,"",4717,"",116,"",97.6,"",20,"",0.4,"",6,"",0.1,""
"200708","S92000003","S08000032","L308H","Emergency Department",5614,5531,83,98.5,5614,"",5531,"",83,"",98.5,"",2,"",0,"",0,"",0,""
"200708","S92000003","S08000024","S116H","Minor Injury Unit or Other",2972,2784,188,93.7,2972,"",2784,"",188,"",93.7,"",8,"",0.3,"",0,"",0,""
"200708","S92000003","S08000024","S308H","Emergency Department",4036,3912,124,96.9,4036,"",3912,"",124,"",96.9,"",1,"",0,"",0,"",0,""
"200708","S92000003","S08000024","S314H","Emergency Department",9473,8620,853,91,9473,"",8620,"",853,"",91,"",56,"",0.6,"",1,"",0,""
"200708","S92000003","S08000024","S319H","Emergency Department",2875,2847,28,99,2875,"",2847,"",28,"",99,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000025","R103H","Minor Injury Unit or Other",237,237,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000026","Z102H","Emergency Department",745,727,18,97.6,745,"",727,"",18,"",97.6,"",1,"",0.1,"",1,"",0.1,""
"200708","S92000003","S08000030","T101H","Emergency Department",4072,4040,32,99.2,4072,"",4040,"",32,"",99.2,"",1,"",0,"",0,"",0,""
"200708","S92000003","S08000030","T202H","Emergency Department",2300,2281,19,99.2,2300,"",2281,"",19,"",99.2,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000030","T208H","Minor Injury Unit or Other",63,63,0,100,63,"",63,"",0,"",100,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000030","T209H","Minor Injury Unit or Other",147,145,2,98.6,147,"",145,"",2,"",98.6,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000030","T304H","Minor Injury Unit or Other",700,699,1,99.9,700,"",699,"",1,"",99.9,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000030","T305H","Minor Injury Unit or Other",146,146,0,100,146,"",146,"",0,"",100,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000030","T319H","Minor Injury Unit or Other",422,422,0,100,422,"",422,"",0,"",100,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000030","T357C","Minor Injury Unit or Other",334,334,0,100,334,"",334,"",0,"",100,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000028","W106H","Minor Injury Unit or Other",36,35,1,97.2,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200708","S92000003","S08000028","W107H","Emergency Department",767,742,25,96.7,767,"",742,"",25,"",96.7,"",0,"",0,"",0,"",0,""
"200708","S92000003","S08000028","W108H","Minor Injury Unit or Other",112,112,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200709","S92000003","S08000015","A101H","Minor Injury Unit or Other",173,173,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200709","S92000003","S08000015","A111H","Emergency Department",5499,5426,73,98.7,5499,"",5426,"",73,"",98.7,"",0,"",0,"",0,"",0,""
"200709","S92000003","S08000015","A207H","Minor Injury Unit or Other",78,78,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200709","S92000003","S08000015","A210H","Emergency Department",3270,3157,113,96.5,3270,"",3157,"",113,"",96.5,"",0,"",0,"",0,"",0,""
