Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,117,238,2.03418803418803,,126,552,4.38095238095238,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,58,131,2.25862068965517,,59,179,3.03389830508475,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,156,379,2.42948717948718,,170,523,3.07647058823529,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,121,527,4.35537190082645,,128,501,3.9140625,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,123,355,2.88617886178862,,127,525,4.13385826771654,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,103,285,2.76699029126214,,104,342,3.28846153846154,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,144,374,2.59722222222222,,150,516,3.44,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,182,525,2.88461538461538,,198,636,3.21212121212121,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,3,,194,620,3.19587628865979,,215,859,3.9953488372093,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,223,516,2.31390134529148,,238,717,3.01260504201681,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,182,471,2.58791208791209,,191,607,3.17801047120419,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,207,559,2.70048309178744,,212,743,3.50471698113208,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,210,521,2.48095238095238,,222,825,3.71621621621622,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,218,613,2.81192660550459,,226,783,3.4646017699115,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,247,583,2.36032388663968,,247,657,2.65991902834008,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,231,633,2.74025974025974,,249,918,3.68674698795181,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,231,632,2.73593073593074,,238,805,3.38235294117647,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,202,486,2.40594059405941,,208,577,2.77403846153846,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,191,526,2.75392670157068,,192,620,3.22916666666667,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,37,94,2.54054054054054,,38,218,5.73684210526316,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,84,214,2.54761904761905,,86,260,3.02325581395349,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,102,230,2.25490196078431,,108,428,3.96296296296296,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,46,106,2.30434782608696,,51,158,3.09803921568627,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,125,256,2.048,,132,428,3.24242424242424,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,96,252,2.625,,108,473,4.37962962962963,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,106,430,4.05660377358491,,110,510,4.63636363636364,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,92,327,3.55434782608696,,96,375,3.90625,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,145,499,3.44137931034483,,149,555,3.7248322147651,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,140,403,2.87857142857143,,149,502,3.36912751677852,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,4,,162,420,2.59259259259259,,178,595,3.34269662921348,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,159,535,3.36477987421384,,170,690,4.05882352941176,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,155,377,2.43225806451613,,166,556,3.34939759036145,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,149,450,3.02013422818792,,159,787,4.9496855345912,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,159,442,2.77987421383648,,166,569,3.42771084337349,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,164,391,2.38414634146341,,176,1213,6.89204545454545,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,205,518,2.52682926829268,,214,684,3.19626168224299,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,199,566,2.84422110552764,,201,737,3.66666666666667,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,142,374,2.63380281690141,,148,452,3.05405405405405,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,169,534,3.15976331360947,,175,693,3.96,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,151,362,2.39735099337748,,158,495,3.13291139240506,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,42,91,2.16666666666667,,46,128,2.78260869565217,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,90,177,1.96666666666667,,91,201,2.20879120879121,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,89,187,2.10112359550562,,96,304,3.16666666666667,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,32,116,3.625,,32,139,4.34375,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,97,341,3.51546391752577,,103,393,3.81553398058252,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,70,170,2.42857142857143,,79,333,4.21518987341772,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,96,285,2.96875,,103,502,4.87378640776699,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,72,210,2.91666666666667,,73,258,3.53424657534247,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,90,222,2.46666666666667,,93,279,3,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,118,297,2.51694915254237,,124,443,3.57258064516129,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,5,,99,286,2.88888888888889,,107,347,3.24299065420561,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,,:,0,0,,z,0,0,,z
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,,:,0,0,,z,0,0,,z
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,,:,0,0,,z,0,0,,z
2017Q4,,S08000015,,A210H,,Elective Inpatients,,1,,220,665,3.02272727272727,,225,910,4.04444444444444,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,1,,198,555,2.8030303030303,,200,634,3.17,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,1,,205,546,2.66341463414634,,205,616,3.00487804878049,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,1,,165,478,2.8969696969697,,180,765,4.25,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,1,,196,477,2.43367346938776,,200,622,3.11,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,1,,170,381,2.24117647058824,,175,493,2.81714285714286,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,1,,180,410,2.27777777777778,,185,546,2.95135135135135,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,1,,155,460,2.96774193548387,,155,586,3.78064516129032,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,1,,176,437,2.48295454545455,,180,646,3.58888888888889,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,1,,189,464,2.45502645502645,,195,652,3.34358974358974,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,1,,51,115,2.25490196078431,,50,262,5.24,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,1,,132,373,2.82575757575758,,130,391,3.00769230769231,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,1,,137,251,1.83211678832117,,140,488,3.48571428571429,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,1,,57,177,3.10526315789474,,60,377,6.28333333333333,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,1,,152,399,2.625,,152,498,3.27631578947368,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,1,,96,220,2.29166666666667,,103,459,4.45631067961165,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,1,,175,477,2.72571428571429,,180,714,3.96666666666667,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,1,,142,501,3.52816901408451,,145,601,4.1448275862069,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,1,,149,490,3.28859060402685,,150,561,3.74,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,1,,173,592,3.42196531791908,,175,796,4.54857142857143,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,1,,154,350,2.27272727272727,,160,513,3.20625,
2017Q4,,S08000015,,A210H,,Elective Inpatients,,2,,186,592,3.18279569892473,,190,854,4.49473684210526,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,2,,155,457,2.94838709677419,,155,459,2.96129032258065,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,2,,165,468,2.83636363636364,,175,689,3.93714285714286,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,2,,170,478,2.81176470588235,,175,600,3.42857142857143,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,2,,175,450,2.57142857142857,,180,633,3.51666666666667,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,2,,213,489,2.29577464788732,,215,668,3.10697674418605,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,2,,170,390,2.29411764705882,,176,557,3.16477272727273,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,2,,172,528,3.06976744186047,,175,584,3.33714285714286,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,2,,160,436,2.725,,165,554,3.35757575757576,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,2,,155,381,2.45806451612903,,158,505,3.1962025316455702,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,2,,41,129,3.14634146341463,,41,148,3.60975609756098,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,2,,127,322,2.53543307086614,,135,412,3.05185185185185,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,2,,124,297,2.39516129032258,,125,355,2.84,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,2,,53,120,2.26415094339623,,55,140,2.54545454545455,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,2,,132,347,2.62878787878788,,135,515,3.81481481481481,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,2,,91,201,2.20879120879121,,95,370,3.89473684210526,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,2,,136,397,2.91911764705882,,137,503,3.67153284671533,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,2,,92,291,3.16304347826087,,95,458,4.82105263157895,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,2,,138,335,2.42753623188406,,140,452,3.22857142857143,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,2,,162,382,2.35802469135802,,165,614,3.72121212121212,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,2,,150,504,3.36,,150,640,4.26666666666667,
2017Q4,,S08000015,,A210H,,Elective Inpatients,,3,,133,338,2.54135338345865,,135,398,2.94814814814815,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,3,,141,472,3.34751773049645,,150,637,4.24666666666667,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,3,,124,310,2.5,,125,349,2.792,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,3,,125,399,3.192,,129,458,3.55038759689922,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,3,,159,454,2.85534591194969,,165,546,3.30909090909091,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,3,,145,315,2.17241379310345,,144,397,2.75694444444444,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,3,,158,398,2.51898734177215,,160,594,3.7125,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,3,,135,391,2.8962962962963,,135,443,3.28148148148148,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,3,,139,332,2.3884892086330902,,140,444,3.17142857142857,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,3,,149,370,2.48322147651007,,150,623,4.15333333333333,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,3,,37,68,1.83783783783784,,37,83,2.24324324324324,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,3,,94,323,3.43617021276596,,95,240,2.52631578947368,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,3,,86,167,1.94186046511628,,90,428,4.75555555555556,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,3,,46,104,2.26086956521739,,45,121,2.68888888888889,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,3,,106,249,2.34905660377358,,110,309,2.80909090909091,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,3,,79,250,3.16455696202532,,79,312,3.9493670886076,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,3,,102,241,2.36274509803922,,105,404,3.84761904761905,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,3,,67,149,2.22388059701493,,65,181,2.78461538461538,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,3,,95,238,2.50526315789474,,95,300,3.1578947368421,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,3,,123,315,2.5609756097561,,125,400,3.2,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,3,,128,342,2.671875,,134,457,3.41044776119403,
2017Q4,,S08000015,,A210H,,Elective Inpatients,,4,,90,195,2.16666666666667,,90,215,2.38888888888889,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,4,,76,197,2.59210526315789,,75,241,3.21333333333333,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,4,,95,318,3.34736842105263,,97,423,4.36082474226804,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,4,,88,267,3.03409090909091,,95,435,4.57894736842105,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,4,,102,376,3.68627450980392,,105,470,4.47619047619048,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,4,,104,287,2.75961538461538,,100,304,3.04,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,4,,90,293,3.25555555555556,,95,404,4.25263157894737,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,4,,110,273,2.48181818181818,,110,299,2.71818181818182,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,4,,104,213,2.04807692307692,,105,264,2.51428571428571,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,4,,112,277,2.47321428571429,,112,315,2.8125,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,4,,25,57,2.28,,25,170,6.8,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,4,,55,141,2.56363636363636,,55,154,2.8,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,4,,62,126,2.03225806451613,,60,231,3.85,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,4,,28,53,1.89285714285714,,31,63,2.03225806451613,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,4,,76,136,1.78947368421053,,75,244,3.25333333333333,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,4,,60,164,2.73333333333333,,60,245,4.08333333333333,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,4,,74,219,2.95945945945946,,76,296,3.89473684210526,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,4,,65,212,3.26153846153846,,65,244,3.75384615384615,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,4,,98,255,2.60204081632653,,95,282,2.96842105263158,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,4,,80,247,3.0875,,80,297,3.7125,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,4,,100,307,3.07,,105,423,4.02857142857143,
2017Q4,,S08000015,,A210H,,Elective Inpatients,,5,,81,310,3.82716049382716,,85,388,4.56470588235294,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,5,,87,249,2.86206896551724,,90,344,3.82222222222222,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,5,,69,269,3.89855072463768,,75,547,7.29333333333333,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,5,,75,239,3.18666666666667,,75,350,4.66666666666667,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,5,,102,211,2.06862745098039,,102,248,2.43137254901961,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,5,,106,299,2.82075471698113,,108,357,3.30555555555556,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,5,,102,313,3.06862745098039,,103,404,3.92233009708738,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,5,,72,195,2.70833333333333,,73,224,3.06849315068493,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,5,,98,212,2.16326530612245,,100,229,2.29,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,5,,94,255,2.71276595744681,,100,330,3.3,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,5,,26,63,2.42307692307692,,30,71,2.36666666666667,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,5,,55,91,1.65454545454545,,55,106,1.92727272727273,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,5,,64,148,2.3125,,65,221,3.4,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,5,,22,64,2.90909090909091,,20,84,4.2,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,5,,55,124,2.25454545454545,,55,195,3.54545454545455,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,5,,43,61,1.41860465116279,,45,91,2.02222222222222,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,5,,61,126,2.0655737704918,,65,338,5.2,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,5,,53,80,1.50943396226415,,55,132,2.4,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,5,,61,146,2.39344262295082,,60,171,2.85,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,5,,75,172,2.29333333333333,,75,241,3.21333333333333,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,5,,62,186,3,,64,218,3.40625,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
2021Q1,,S08000015,,A210H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
2017Q4,,S08000015,,A111H,,Elective Inpatients,,1,,252,654,2.5952380952381,,280,884,3.15714285714286,
2018Q1,,S08000015,,A111H,,Elective Inpatients,,1,,220,545,2.47727272727273,,235,686,2.91914893617021,
2018Q2,,S08000015,,A111H,,Elective Inpatients,,1,,255,766,3.00392156862745,,275,1024,3.72363636363636,
2018Q3,,S08000015,,A111H,,Elective Inpatients,,1,,231,518,2.24242424242424,,245,640,2.61224489795918,
2018Q4,,S08000015,,A111H,,Elective Inpatients,,1,,234,571,2.44017094017094,,255,789,3.09411764705882,
2019Q1,,S08000015,,A111H,,Elective Inpatients,,1,,251,463,1.84462151394422,,270,810,3,
2019Q2,,S08000015,,A111H,,Elective Inpatients,,1,,249,535,2.14859437751004,,270,760,2.81481481481481,
2019Q3,,S08000015,,A111H,,Elective Inpatients,,1,,219,558,2.54794520547945,,250,724,2.896,
2019Q4,,S08000015,,A111H,,Elective Inpatients,,1,,183,554,3.02732240437158,,205,722,3.5219512195122,
2020Q1,,S08000015,,A111H,,Elective Inpatients,,1,,130,398,3.06153846153846,,152,500,3.28947368421053,
2020Q2,,S08000015,,A111H,,Elective Inpatients,,1,,36,89,2.47222222222222,,40,207,5.175,
2020Q3,,S08000015,,A111H,,Elective Inpatients,,1,,75,279,3.72,,85,402,4.72941176470588,
2020Q4,,S08000015,,A111H,,Elective Inpatients,,1,,59,165,2.79661016949153,,65,225,3.46153846153846,
2021Q1,,S08000015,,A111H,,Elective Inpatients,,1,,39,151,3.87179487179487,,45,223,4.95555555555556,
2021Q2,,S08000015,,A111H,,Elective Inpatients,,1,,55,138,2.50909090909091,,70,258,3.68571428571429,
2021Q3,,S08000015,,A111H,,Elective Inpatients,,1,,54,197,3.64814814814815,,75,339,4.52,
2021Q4,,S08000015,,A111H,,Elective Inpatients,,1,,45,145,3.22222222222222,,50,183,3.66,
2022Q1,,S08000015,,A111H,,Elective Inpatients,,1,,38,161,4.23684210526316,,50,240,4.8,
2022Q2,,S08000015,,A111H,,Elective Inpatients,,1,,75,234,3.12,,90,338,3.75555555555556,
2022Q3,,S08000015,,A111H,,Elective Inpatients,,1,,115,335,2.91304347826087,,135,476,3.52592592592593,
2022Q4,p,S08000015,,A111H,,Elective Inpatients,,1,,110,389,3.53636363636364,,128,509,3.9765625,
2017Q4,,S08000015,,A111H,,Elective Inpatients,,2,,155,433,2.79354838709677,,165,520,3.15151515151515,
2018Q1,,S08000015,,A111H,,Elective Inpatients,,2,,145,459,3.16551724137931,,165,613,3.71515151515152,
2018Q2,,S08000015,,A111H,,Elective Inpatients,,2,,181,486,2.68508287292818,,195,624,3.2,
2018Q3,,S08000015,,A111H,,Elective Inpatients,,2,,176,392,2.22727272727273,,195,510,2.61538461538462,
2018Q4,,S08000015,,A111H,,Elective Inpatients,,2,,160,656,4.1,,170,761,4.47647058823529,
