WeekEnding,HB,HBQF,AdmissionType,AdmissionTypeQF,Specialty,SpecialtyQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S08000030,,All,d,Paediatrics (medical & surgical),,122,141.5,-13.8
20200105,S08000030,,All,d,Paediatrics (medical),,122,141.5,-13.8
20200105,S08000030,,All,d,Surgery,,298,292,2.1
20200105,S08000031,,All,d,Accident & Emergency,,31,34.5,-10.1
20200105,S08000031,,All,d,All,d,3596,3707,-3
20200105,S08000031,,All,d,Cancer,,71,81.5,-12.9
20200105,S08000031,,All,d,Cardiology,,121,130,-6.9
20200105,S08000031,,All,d,Gynaecology,,103,106.5,-3.3
20200105,S08000031,,All,d,Medical (excl. Cardiology & Cancer),,1943,1989,-2.3
20200105,S08000031,,All,d,Medical (incl. Cardiology & Cancer),,2135,2200.5,-3
20200105,S08000031,,All,d,Paediatrics (medical & surgical),,294,307,-4.2
20200105,S08000031,,All,d,Paediatrics (medical),,271,277.5,-2.3
20200105,S08000031,,All,d,Paediatrics (surgical),,23,29.5,-22
20200105,S08000031,,All,d,Surgery,,1026,1051,-2.4
20200105,S08000032,,All,d,Accident & Emergency,,7,3.5,100
20200105,S08000032,,All,d,All,d,1640,1647.5,-0.5
20200105,S08000032,,All,d,Cardiology,,82,67,22.4
20200105,S08000032,,All,d,Gynaecology,,31,23.5,31.9
20200105,S08000032,,All,d,Medical (excl. Cardiology & Cancer),,911,958.5,-5
20200105,S08000032,,All,d,Medical (incl. Cardiology & Cancer),,993,1025.5,-3.2
20200105,S08000032,,All,d,Paediatrics (medical & surgical),,201,222.5,-9.7
20200105,S08000032,,All,d,Paediatrics (medical),,201,221.5,-9.3
20200105,S08000032,,All,d,Surgery,,408,372.5,9.5
20200105,S92000003,d,All,d,Accident & Emergency,,553,307.5,79.8
20200105,S92000003,d,All,d,All,d,14064,14337,-1.9
20200105,S92000003,d,All,d,Cancer,,241,224,7.6
20200105,S92000003,d,All,d,Cardiology,,431,434.5,-0.8
20200105,S92000003,d,All,d,Community,,219,253.5,-13.6
20200105,S92000003,d,All,d,Gynaecology,,295,298.5,-1.2
20200105,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),,7243,7729,-6.3
20200105,S92000003,d,All,d,Medical (incl. Cardiology & Cancer),,7915,8387.5,-5.6
20200105,S92000003,d,All,d,Paediatrics (medical & surgical),,1349,1386,-2.7
20200105,S92000003,d,All,d,Paediatrics (medical),,1291,1332.5,-3.1
20200105,S92000003,d,All,d,Paediatrics (surgical),,58,53.5,8.4
20200105,S92000003,d,All,d,Surgery,,3723,3690,0.9
20200105,S92000003,d,All,d,NA,NA,6,10,-40
20200105,NA,NA,All,d,All,d,117,150.5,-22.3
20200105,NA,NA,All,d,Cardiology,,52,50,4
20200105,NA,NA,All,d,Medical (incl. Cardiology & Cancer),,52,53,-1.9
20200105,NA,NA,All,d,Surgery,,65,97.5,-33.3
20200112,S08000015,,All,d,Accident & Emergency,,8,18,-55.6
20200112,S08000015,,All,d,All,d,1093,1176,-7.1
20200112,S08000015,,All,d,Cardiology,,18,16.5,9.1
20200112,S08000015,,All,d,Medical (excl. Cardiology & Cancer),,659,700,-5.9
20200112,S08000015,,All,d,Medical (incl. Cardiology & Cancer),,677,716.5,-5.5
20200112,S08000015,,All,d,Paediatrics (medical & surgical),,119,144.5,-17.6
20200112,S08000015,,All,d,Paediatrics (medical),,119,144.5,-17.6
20200112,S08000015,,All,d,Surgery,,287,295,-2.7
20200112,S08000016,,All,d,All,d,239,270,-11.5
20200112,S08000016,,All,d,Community,,8,20,-60
20200112,S08000016,,All,d,Medical (excl. Cardiology & Cancer),,145,150.5,-3.7
20200112,S08000016,,All,d,Medical (incl. Cardiology & Cancer),,149,161.5,-7.7
20200112,S08000016,,All,d,Paediatrics (medical & surgical),,20,31.5,-36.5
20200112,S08000016,,All,d,Paediatrics (medical),,20,31.5,-36.5
20200112,S08000016,,All,d,Surgery,,62,57,8.8
20200112,S08000017,,All,d,All,d,446,477,-6.5
20200112,S08000017,,All,d,Community,,29,33.5,-13.4
20200112,S08000017,,All,d,Gynaecology,,18,17.5,2.9
20200112,S08000017,,All,d,Medical (excl. Cardiology & Cancer),,229,242.5,-5.6
20200112,S08000017,,All,d,Medical (incl. Cardiology & Cancer),,231,245,-5.7
20200112,S08000017,,All,d,Paediatrics (medical & surgical),,39,57.5,-32.2
20200112,S08000017,,All,d,Paediatrics (medical),,39,57.5,-32.2
20200112,S08000017,,All,d,Surgery,,129,123.5,4.5
20200112,S08000019,,All,d,Accident & Emergency,,5,10.5,-52.4
20200112,S08000019,,All,d,All,d,801,992,-19.3
20200112,S08000019,,All,d,Gynaecology,,26,37,-29.7
20200112,S08000019,,All,d,Medical (excl. Cardiology & Cancer),,487,625.5,-22.1
20200112,S08000019,,All,d,Medical (incl. Cardiology & Cancer),,490,631,-22.3
20200112,S08000019,,All,d,Paediatrics (medical & surgical),,74,83.5,-11.4
20200112,S08000019,,All,d,Paediatrics (medical),,74,83,-10.8
20200112,S08000019,,All,d,Surgery,,206,230,-10.4
20200112,S08000020,,All,d,Accident & Emergency,,51,51.5,-1
20200112,S08000020,,All,d,All,d,1329,1363.5,-2.5
20200112,S08000020,,All,d,Cancer,,40,26,53.8
20200112,S08000020,,All,d,Cardiology,,33,37.5,-12
20200112,S08000020,,All,d,Community,,48,68.5,-29.9
20200112,S08000020,,All,d,Gynaecology,,22,32,-31.2
20200112,S08000020,,All,d,Medical (excl. Cardiology & Cancer),,488,559,-12.7
20200112,S08000020,,All,d,Medical (incl. Cardiology & Cancer),,561,622.5,-9.9
20200112,S08000020,,All,d,Paediatrics (medical & surgical),,151,123.5,22.3
20200112,S08000020,,All,d,Paediatrics (medical),,132,109.5,20.5
20200112,S08000020,,All,d,Paediatrics (surgical),,19,14,35.7
20200112,S08000020,,All,d,Surgery,,496,464,6.9
20200112,S08000022,,All,d,All,d,788,746.5,5.6
20200112,S08000022,,All,d,Cancer,,8,8,-0
20200112,S08000022,,All,d,Cardiology,,8,8.5,-5.9
20200112,S08000022,,All,d,Community,,90,111,-18.9
20200112,S08000022,,All,d,Gynaecology,,24,17,41.2
20200112,S08000022,,All,d,Medical (excl. Cardiology & Cancer),,313,334,-6.3
20200112,S08000022,,All,d,Medical (incl. Cardiology & Cancer),,329,350.5,-6.1
20200112,S08000022,,All,d,Paediatrics (medical & surgical),,81,61,32.8
20200112,S08000022,,All,d,Paediatrics (medical),,81,61,32.8
20200112,S08000022,,All,d,Surgery,,264,206.5,27.8
20200112,S08000024,,All,d,Accident & Emergency,,218,50.5,331.7
20200112,S08000024,,All,d,All,d,2336,2166.5,7.8
20200112,S08000024,,All,d,Cancer,,134,88.5,51.4
20200112,S08000024,,All,d,Cardiology,,72,73,-1.4
20200112,S08000024,,All,d,Gynaecology,,61,57.5,6.1
20200112,S08000024,,All,d,Medical (excl. Cardiology & Cancer),,978,976.5,0.2
20200112,S08000024,,All,d,Medical (incl. Cardiology & Cancer),,1184,1138,4
20200112,S08000024,,All,d,Paediatrics (medical & surgical),,175,152.5,14.8
20200112,S08000024,,All,d,Paediatrics (medical),,150,116.5,28.8
20200112,S08000024,,All,d,Paediatrics (surgical),,25,36,-30.6
20200112,S08000024,,All,d,Surgery,,697,768,-9.2
20200112,S08000025,,All,d,All,d,44,40,10
20200112,S08000025,,All,d,Medical (excl. Cardiology & Cancer),,20,28,-28.6
20200112,S08000025,,All,d,Medical (incl. Cardiology & Cancer),,21,29.5,-28.8
20200112,S08000025,,All,d,Surgery,,22,10,120
20200112,S08000026,,All,d,All,d,34,47,-27.7
20200112,S08000026,,All,d,Medical (excl. Cardiology & Cancer),,19,26.5,-28.3
20200112,S08000026,,All,d,Medical (incl. Cardiology & Cancer),,19,26.5,-28.3
20200112,S08000026,,All,d,Surgery,,15,20.5,-26.8
20200112,S08000028,,All,d,All,d,86,77.5,11
20200112,S08000028,,All,d,Community,,15,13,15.4
20200112,S08000028,,All,d,Medical (excl. Cardiology & Cancer),,38,40.5,-6.2
20200112,S08000028,,All,d,Medical (incl. Cardiology & Cancer),,38,40.5,-6.2
20200112,S08000028,,All,d,Surgery,,29,18,61.1
20200112,S08000029,,All,d,Accident & Emergency,,60,50,20
20200112,S08000029,,All,d,All,d,942,932.5,1
20200112,S08000029,,All,d,Cardiology,,40,32,25
20200112,S08000029,,All,d,Community,,13,12,8.3
20200112,S08000029,,All,d,Gynaecology,,23,27.5,-16.4
20200112,S08000029,,All,d,Medical (excl. Cardiology & Cancer),,468,483.5,-3.2
20200112,S08000029,,All,d,Medical (incl. Cardiology & Cancer),,508,515.5,-1.5
20200112,S08000029,,All,d,Paediatrics (medical & surgical),,83,95.5,-13.1
20200112,S08000029,,All,d,Paediatrics (medical),,83,95.5,-13.1
20200112,S08000029,,All,d,Surgery,,255,230.5,10.6
20200112,S08000030,,All,d,Accident & Emergency,,79,64.5,22.5
20200112,S08000030,,All,d,All,d,1311,1273.5,2.9
20200112,S08000030,,All,d,Cancer,,23,23,-0
20200112,S08000030,,All,d,Cardiology,,38,34,11.8
20200112,S08000030,,All,d,Community,,7,22,-68.2
20200112,S08000030,,All,d,Gynaecology,,43,37,16.2
20200112,S08000030,,All,d,Medical (excl. Cardiology & Cancer),,582,594,-2
20200112,S08000030,,All,d,Medical (incl. Cardiology & Cancer),,643,651,-1.2
20200112,S08000030,,All,d,Paediatrics (medical & surgical),,117,150,-22
20200112,S08000030,,All,d,Paediatrics (medical),,117,147,-20.4
20200112,S08000030,,All,d,Surgery,,422,348,21.3
20200112,S08000031,,All,d,Accident & Emergency,,30,24,25
20200112,S08000031,,All,d,All,d,4150,4213.5,-1.5
20200112,S08000031,,All,d,Cancer,,96,92,4.3
20200112,S08000031,,All,d,Cardiology,,119,155.5,-23.5
20200112,S08000031,,All,d,Gynaecology,,160,145,10.3
20200112,S08000031,,All,d,Medical (excl. Cardiology & Cancer),,2040,2086.5,-2.2
20200112,S08000031,,All,d,Medical (incl. Cardiology & Cancer),,2255,2334,-3.4
20200112,S08000031,,All,d,Paediatrics (medical & surgical),,268,293,-8.5
20200112,S08000031,,All,d,Paediatrics (medical),,235,255,-7.8
20200112,S08000031,,All,d,Paediatrics (surgical),,33,38,-13.2
20200112,S08000031,,All,d,Surgery,,1425,1406.5,1.3
20200112,S08000031,,All,d,NA,NA,11,9.5,15.8
20200112,S08000032,,All,d,All,d,1722,1788,-3.7
20200112,S08000032,,All,d,Cardiology,,80,76.5,4.6
20200112,S08000032,,All,d,Gynaecology,,35,31.5,11.1
20200112,S08000032,,All,d,Medical (excl. Cardiology & Cancer),,1004,1002.5,0.1
20200112,S08000032,,All,d,Medical (incl. Cardiology & Cancer),,1084,1079,0.5
20200112,S08000032,,All,d,Paediatrics (medical & surgical),,146,236,-38.1
20200112,S08000032,,All,d,Paediatrics (medical),,146,235,-37.9
20200112,S08000032,,All,d,Surgery,,454,437,3.9
20200112,S92000003,d,All,d,Accident & Emergency,,454,273.5,66
20200112,S92000003,d,All,d,All,d,15553,15805,-1.6
20200112,S92000003,d,All,d,Cancer,,302,239.5,26.1
20200112,S92000003,d,All,d,Cardiology,,486,528.5,-8
20200112,S92000003,d,All,d,Community,,210,280.5,-25.1
20200112,S92000003,d,All,d,Gynaecology,,414,403.5,2.6
20200112,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),,7474,7853.5,-4.8
20200112,S92000003,d,All,d,Medical (incl. Cardiology & Cancer),,8262,8621.5,-4.2
20200112,S92000003,d,All,d,Paediatrics (medical & surgical),,1276,1433,-11
20200112,S92000003,d,All,d,Paediatrics (medical),,1199,1340.5,-10.6
20200112,S92000003,d,All,d,Paediatrics (surgical),,77,92.5,-16.8
20200112,S92000003,d,All,d,Surgery,,4922,4775.5,3.1
20200112,S92000003,d,All,d,NA,NA,13,11.5,13
20200112,NA,NA,All,d,All,d,232,241.5,-3.9
20200112,NA,NA,All,d,Cardiology,,69,76.5,-9.8
20200112,NA,NA,All,d,Medical (incl. Cardiology & Cancer),,73,80.5,-9.3
20200112,NA,NA,All,d,Surgery,,159,161,-1.2
20200119,S08000015,,All,d,Accident & Emergency,,14,28,-50
20200119,S08000015,,All,d,All,d,1057,1208,-12.5
20200119,S08000015,,All,d,Cardiology,,20,18.5,8.1
20200119,S08000015,,All,d,Medical (excl. Cardiology & Cancer),,609,672.5,-9.4
20200119,S08000015,,All,d,Medical (incl. Cardiology & Cancer),,629,691.5,-9
20200119,S08000015,,All,d,Paediatrics (medical & surgical),,104,160,-35
20200119,S08000015,,All,d,Paediatrics (medical),,103,160,-35.6
20200119,S08000015,,All,d,Surgery,,308,326.5,-5.7
20200119,S08000016,,All,d,All,d,240,243.5,-1.4
20200119,S08000016,,All,d,Cardiology,,8,10.5,-23.8
20200119,S08000016,,All,d,Community,,14,15.5,-9.7
20200119,S08000016,,All,d,Medical (excl. Cardiology & Cancer),,135,126.5,6.7
20200119,S08000016,,All,d,Medical (incl. Cardiology & Cancer),,143,137,4.4
20200119,S08000016,,All,d,Paediatrics (medical & surgical),,25,29,-13.8
20200119,S08000016,,All,d,Paediatrics (medical),,25,29,-13.8
20200119,S08000016,,All,d,Surgery,,58,62,-6.5
20200119,S08000017,,All,d,All,d,421,446,-5.6
20200119,S08000017,,All,d,Community,,37,31.5,17.5
20200119,S08000017,,All,d,Gynaecology,,20,16,25
20200119,S08000017,,All,d,Medical (excl. Cardiology & Cancer),,211,217.5,-3
20200119,S08000017,,All,d,Medical (incl. Cardiology & Cancer),,214,220.5,-2.9
20200119,S08000017,,All,d,Paediatrics (medical & surgical),,40,59.5,-32.8
20200119,S08000017,,All,d,Paediatrics (medical),,40,59.5,-32.8
20200119,S08000017,,All,d,Surgery,,110,118.5,-7.2
20200119,S08000019,,All,d,Accident & Emergency,,9,7.5,20
20200119,S08000019,,All,d,All,d,790,954,-17.2
20200119,S08000019,,All,d,Cardiology,,6,11,-45.5
20200119,S08000019,,All,d,Gynaecology,,28,33.5,-16.4
20200119,S08000019,,All,d,Medical (excl. Cardiology & Cancer),,469,581,-19.3
20200119,S08000019,,All,d,Medical (incl. Cardiology & Cancer),,475,592,-19.8
20200119,S08000019,,All,d,Paediatrics (medical & surgical),,74,79,-6.3
20200119,S08000019,,All,d,Paediatrics (medical),,74,79,-6.3
20200119,S08000019,,All,d,Surgery,,203,242,-16.1
20200119,S08000020,,All,d,Accident & Emergency,,71,44.5,59.6
20200119,S08000020,,All,d,All,d,1355,1356,-0.1
20200119,S08000020,,All,d,Cancer,,47,29,62.1
20200119,S08000020,,All,d,Cardiology,,40,40,-0
20200119,S08000020,,All,d,Community,,56,67.5,-17
20200119,S08000020,,All,d,Gynaecology,,29,33.5,-13.4
20200119,S08000020,,All,d,Medical (excl. Cardiology & Cancer),,528,528.5,-0.1
20200119,S08000020,,All,d,Medical (incl. Cardiology & Cancer),,615,597.5,2.9
20200119,S08000020,,All,d,Paediatrics (medical & surgical),,129,121.5,6.2
20200119,S08000020,,All,d,Paediatrics (medical),,112,105.5,6.2
20200119,S08000020,,All,d,Paediatrics (surgical),,17,16,6.2
20200119,S08000020,,All,d,Surgery,,455,491.5,-7.4
20200119,S08000022,,All,d,All,d,764,793.5,-3.7
20200119,S08000022,,All,d,Cancer,,6,12.5,-52
20200119,S08000022,,All,d,Cardiology,,11,14.5,-24.1
20200119,S08000022,,All,d,Community,,109,99,10.1
20200119,S08000022,,All,d,Gynaecology,,30,22.5,33.3
20200119,S08000022,,All,d,Medical (excl. Cardiology & Cancer),,306,344.5,-11.2
20200119,S08000022,,All,d,Medical (incl. Cardiology & Cancer),,323,371.5,-13.1
20200119,S08000022,,All,d,Paediatrics (medical & surgical),,56,83.5,-32.9
20200119,S08000022,,All,d,Paediatrics (medical),,56,83.5,-32.9
20200119,S08000022,,All,d,Surgery,,246,216.5,13.6
20200119,S08000024,,All,d,Accident & Emergency,,263,27.5,856.4
20200119,S08000024,,All,d,All,d,2407,2064,16.6
20200119,S08000024,,All,d,Cancer,,116,85,36.5
20200119,S08000024,,All,d,Cardiology,,64,76,-15.8
20200119,S08000024,,All,d,Gynaecology,,56,49.5,13.1
20200119,S08000024,,All,d,Medical (excl. Cardiology & Cancer),,975,944,3.3
20200119,S08000024,,All,d,Medical (incl. Cardiology & Cancer),,1155,1105,4.5
20200119,S08000024,,All,d,Paediatrics (medical & surgical),,178,158.5,12.3
20200119,S08000024,,All,d,Paediatrics (medical),,162,134,20.9
20200119,S08000024,,All,d,Paediatrics (surgical),,16,24.5,-34.7
20200119,S08000024,,All,d,Surgery,,755,723.5,4.4
20200119,S08000025,,All,d,All,d,47,43.5,8
20200119,S08000025,,All,d,Medical (excl. Cardiology & Cancer),,24,26,-7.7
20200119,S08000025,,All,d,Medical (incl. Cardiology & Cancer),,24,26,-7.7
20200119,S08000025,,All,d,Surgery,,23,16,43.8
20200119,S08000026,,All,d,All,d,28,49,-42.9
20200119,S08000026,,All,d,Medical (excl. Cardiology & Cancer),,16,28,-42.9
20200119,S08000026,,All,d,Medical (incl. Cardiology & Cancer),,16,28,-42.9
20200119,S08000026,,All,d,Surgery,,12,20,-40
20200119,S08000028,,All,d,All,d,71,74.5,-4.7
20200119,S08000028,,All,d,Community,,11,13.5,-18.5
20200119,S08000028,,All,d,Medical (excl. Cardiology & Cancer),,37,34,8.8
20200119,S08000028,,All,d,Medical (incl. Cardiology & Cancer),,37,34,8.8
20200119,S08000028,,All,d,Surgery,,17,19.5,-12.8
20200119,S08000029,,All,d,Accident & Emergency,,84,54,55.6
20200119,S08000029,,All,d,All,d,977,904.5,8
20200119,S08000029,,All,d,Cardiology,,32,20.5,56.1
20200119,S08000029,,All,d,Community,,17,14.5,17.2
20200119,S08000029,,All,d,Gynaecology,,29,28,3.6
20200119,S08000029,,All,d,Medical (excl. Cardiology & Cancer),,462,466.5,-1
20200119,S08000029,,All,d,Medical (incl. Cardiology & Cancer),,494,487,1.4
20200119,S08000029,,All,d,Paediatrics (medical & surgical),,110,88,25
20200119,S08000029,,All,d,Paediatrics (medical),,110,87.5,25.7
20200119,S08000029,,All,d,Surgery,,243,232,4.7
20200119,S08000030,,All,d,Accident & Emergency,,61,65.5,-6.9
20200119,S08000030,,All,d,All,d,1298,1311,-1
20200119,S08000030,,All,d,Cancer,,30,31,-3.2
20200119,S08000030,,All,d,Cardiology,,27,31.5,-14.3
20200119,S08000030,,All,d,Community,,8,28,-71.4
20200119,S08000030,,All,d,Gynaecology,,48,36,33.3
20200119,S08000030,,All,d,Medical (excl. Cardiology & Cancer),,559,564.5,-1
20200119,S08000030,,All,d,Medical (incl. Cardiology & Cancer),,616,627,-1.8
20200119,S08000030,,All,d,Paediatrics (medical & surgical),,149,141.5,5.3
20200119,S08000030,,All,d,Paediatrics (medical),,146,137,6.6
20200119,S08000030,,All,d,Surgery,,416,413,0.7
20200119,S08000031,,All,d,Accident & Emergency,,31,34,-8.8
20200119,S08000031,,All,d,All,d,4082,4143,-1.5
20200119,S08000031,,All,d,Cancer,,91,85,7.1
20200119,S08000031,,All,d,Cardiology,,138,133,3.8
20200119,S08000031,,All,d,Gynaecology,,142,154.5,-8.1
20200119,S08000031,,All,d,Medical (excl. Cardiology & Cancer),,1955,2031,-3.7
20200119,S08000031,,All,d,Medical (incl. Cardiology & Cancer),,2184,2249,-2.9
20200119,S08000031,,All,d,Paediatrics (medical & surgical),,274,300.5,-8.8
20200119,S08000031,,All,d,Paediatrics (medical),,238,262.5,-9.3
20200119,S08000031,,All,d,Paediatrics (surgical),,36,38,-5.3
20200119,S08000031,,All,d,Surgery,,1445,1396.5,3.5
20200119,S08000031,,All,d,NA,NA,6,7,-14.3
20200119,S08000032,,All,d,Accident & Emergency,,7,3.5,100
20200119,S08000032,,All,d,All,d,1655,1708.5,-3.1
20200119,S08000032,,All,d,Cardiology,,75,82,-8.5
20200119,S08000032,,All,d,Gynaecology,,44,31,41.9
20200119,S08000032,,All,d,Medical (excl. Cardiology & Cancer),,872,912,-4.4
20200119,S08000032,,All,d,Medical (incl. Cardiology & Cancer),,947,994,-4.7
20200119,S08000032,,All,d,Paediatrics (medical & surgical),,186,231.5,-19.7
20200119,S08000032,,All,d,Paediatrics (medical),,186,231,-19.5
20200119,S08000032,,All,d,Surgery,,471,448.5,5
20200119,S92000003,d,All,d,Accident & Emergency,,540,264.5,104.2
20200119,S92000003,d,All,d,All,d,15419,15528,-0.7
20200119,S92000003,d,All,d,Cancer,,290,243,19.3
20200119,S92000003,d,All,d,Cardiology,,498,516,-3.5
20200119,S92000003,d,All,d,Community,,252,269.5,-6.5
20200119,S92000003,d,All,d,Gynaecology,,428,410,4.4
20200119,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),,7162,7480.5,-4.3
20200119,S92000003,d,All,d,Medical (incl. Cardiology & Cancer),,7950,8239.5,-3.5
20200119,S92000003,d,All,d,Paediatrics (medical & surgical),,1329,1456.5,-8.8
20200119,S92000003,d,All,d,Paediatrics (medical),,1256,1372.5,-8.5
20200119,S92000003,d,All,d,Paediatrics (surgical),,73,84,-13.1
20200119,S92000003,d,All,d,Surgery,,4911,4875.5,0.7
20200119,S92000003,d,All,d,NA,NA,8,8.5,-5.9
20200119,NA,NA,All,d,All,d,227,229,-0.9
20200119,NA,NA,All,d,Cardiology,,74,75.5,-2
