month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds,reason_for_delay
2016-07-01,S08000020,18-74,144,5,Code 9 Non-AWI
2016-07-01,S08000020,75plus,3659,118,All Delay Reasons
2016-07-01,S08000020,75plus,3005,97,Health and Social Care Reasons
2016-07-01,S08000020,75plus,54,2,Patient and Family Related Reasons
2016-07-01,S08000020,75plus,530,17,Code 9 AWI
2016-07-01,S08000020,75plus,70,2,Code 9 Non-AWI
2016-07-01,S08000022,18plus,4299,139,All Delay Reasons
2016-07-01,S08000022,18plus,2562,83,Health and Social Care Reasons
2016-07-01,S08000022,18plus,536,17,Patient and Family Related Reasons
2016-07-01,S08000022,18plus,475,15,Code 9 AWI
2016-07-01,S08000022,18plus,726,23,Code 9 Non-AWI
2016-07-01,S08000022,18-74,996,32,All Delay Reasons
2016-07-01,S08000022,18-74,629,20,Health and Social Care Reasons
2016-07-01,S08000022,18-74,17,1,Patient and Family Related Reasons
2016-07-01,S08000022,18-74,31,1,Code 9 AWI
2016-07-01,S08000022,18-74,319,10,Code 9 Non-AWI
2016-07-01,S08000022,75plus,3303,107,All Delay Reasons
2016-07-01,S08000022,75plus,1933,62,Health and Social Care Reasons
2016-07-01,S08000022,75plus,519,17,Patient and Family Related Reasons
2016-07-01,S08000022,75plus,444,14,Code 9 AWI
2016-07-01,S08000022,75plus,407,13,Code 9 Non-AWI
2016-07-01,S08000024,18plus,9569,309,All Delay Reasons
2016-07-01,S08000024,18plus,8305,268,Health and Social Care Reasons
2016-07-01,S08000024,18plus,52,2,Patient and Family Related Reasons
2016-07-01,S08000024,18plus,999,32,Code 9 AWI
2016-07-01,S08000024,18plus,213,7,Code 9 Non-AWI
2016-07-01,S08000024,18-74,2975,96,All Delay Reasons
2016-07-01,S08000024,18-74,2500,81,Health and Social Care Reasons
2016-07-01,S08000024,18-74,0,0,Patient and Family Related Reasons
2016-07-01,S08000024,18-74,343,11,Code 9 AWI
2016-07-01,S08000024,18-74,132,4,Code 9 Non-AWI
2016-07-01,S08000024,75plus,6594,213,All Delay Reasons
2016-07-01,S08000024,75plus,5805,187,Health and Social Care Reasons
2016-07-01,S08000024,75plus,52,2,Patient and Family Related Reasons
2016-07-01,S08000024,75plus,656,21,Code 9 AWI
2016-07-01,S08000024,75plus,81,3,Code 9 Non-AWI
2016-07-01,S08000025,18plus,192,6,All Delay Reasons
2016-07-01,S08000025,18plus,96,3,Health and Social Care Reasons
2016-07-01,S08000025,18plus,0,0,Patient and Family Related Reasons
2016-07-01,S08000025,18plus,96,3,Code 9 AWI
2016-07-01,S08000025,18plus,0,0,Code 9 Non-AWI
2016-07-01,S08000025,18-74,65,2,All Delay Reasons
2016-07-01,S08000025,18-74,34,1,Health and Social Care Reasons
2016-07-01,S08000025,18-74,0,0,Patient and Family Related Reasons
2016-07-01,S08000025,18-74,31,1,Code 9 AWI
2016-07-01,S08000025,18-74,0,0,Code 9 Non-AWI
2016-07-01,S08000025,75plus,127,4,All Delay Reasons
2016-07-01,S08000025,75plus,62,2,Health and Social Care Reasons
2016-07-01,S08000025,75plus,0,0,Patient and Family Related Reasons
2016-07-01,S08000025,75plus,65,2,Code 9 AWI
2016-07-01,S08000025,75plus,0,0,Code 9 Non-AWI
2016-07-01,S08000026,18plus,164,5,All Delay Reasons
2016-07-01,S08000026,18plus,164,5,Health and Social Care Reasons
2016-07-01,S08000026,18plus,0,0,Patient and Family Related Reasons
2016-07-01,S08000026,18plus,0,0,Code 9 AWI
2016-07-01,S08000026,18plus,0,0,Code 9 Non-AWI
2016-07-01,S08000026,18-74,34,1,All Delay Reasons
2016-07-01,S08000026,18-74,34,1,Health and Social Care Reasons
2016-07-01,S08000026,18-74,0,0,Patient and Family Related Reasons
2016-07-01,S08000026,18-74,0,0,Code 9 AWI
2016-07-01,S08000026,18-74,0,0,Code 9 Non-AWI
2016-07-01,S08000026,75plus,130,4,All Delay Reasons
2016-07-01,S08000026,75plus,130,4,Health and Social Care Reasons
2016-07-01,S08000026,75plus,0,0,Patient and Family Related Reasons
2016-07-01,S08000026,75plus,0,0,Code 9 AWI
2016-07-01,S08000026,75plus,0,0,Code 9 Non-AWI
2016-07-01,S08000028,18plus,721,23,All Delay Reasons
2016-07-01,S08000028,18plus,167,5,Health and Social Care Reasons
2016-07-01,S08000028,18plus,24,1,Patient and Family Related Reasons
2016-07-01,S08000028,18plus,62,2,Code 9 AWI
2016-07-01,S08000028,18plus,468,15,Code 9 Non-AWI
2016-07-01,S08000028,18-74,93,3,All Delay Reasons
2016-07-01,S08000028,18-74,62,2,Health and Social Care Reasons
2016-07-01,S08000028,18-74,0,0,Patient and Family Related Reasons
2016-07-01,S08000028,18-74,0,0,Code 9 AWI
2016-07-01,S08000028,18-74,31,1,Code 9 Non-AWI
2016-07-01,S08000028,75plus,628,20,All Delay Reasons
2016-07-01,S08000028,75plus,105,3,Health and Social Care Reasons
2016-07-01,S08000028,75plus,24,1,Patient and Family Related Reasons
2016-07-01,S08000028,75plus,62,2,Code 9 AWI
2016-07-01,S08000028,75plus,437,14,Code 9 Non-AWI
2016-07-01,S08000029,18plus,3476,112,All Delay Reasons
2016-07-01,S08000029,18plus,2760,89,Health and Social Care Reasons
2016-07-01,S08000029,18plus,35,1,Patient and Family Related Reasons
2016-07-01,S08000029,18plus,549,18,Code 9 AWI
2016-07-01,S08000029,18plus,132,4,Code 9 Non-AWI
2016-07-01,S08000029,18-74,1218,39,All Delay Reasons
2016-07-01,S08000029,18-74,952,31,Health and Social Care Reasons
2016-07-01,S08000029,18-74,31,1,Patient and Family Related Reasons
2016-07-01,S08000029,18-74,103,3,Code 9 AWI
2016-07-01,S08000029,18-74,132,4,Code 9 Non-AWI
2016-07-01,S08000029,75plus,2258,73,All Delay Reasons
2016-07-01,S08000029,75plus,1808,58,Health and Social Care Reasons
2016-07-01,S08000029,75plus,4,0,Patient and Family Related Reasons
2016-07-01,S08000029,75plus,446,14,Code 9 AWI
2016-07-01,S08000029,75plus,0,0,Code 9 Non-AWI
2016-07-01,S08000030,18plus,2699,87,All Delay Reasons
2016-07-01,S08000030,18plus,1592,51,Health and Social Care Reasons
2016-07-01,S08000030,18plus,131,4,Patient and Family Related Reasons
2016-07-01,S08000030,18plus,556,18,Code 9 AWI
2016-07-01,S08000030,18plus,420,14,Code 9 Non-AWI
2016-07-01,S08000030,18-74,813,26,All Delay Reasons
2016-07-01,S08000030,18-74,318,10,Health and Social Care Reasons
2016-07-01,S08000030,18-74,32,1,Patient and Family Related Reasons
2016-07-01,S08000030,18-74,77,2,Code 9 AWI
2016-07-01,S08000030,18-74,386,12,Code 9 Non-AWI
2016-07-01,S08000030,75plus,1886,61,All Delay Reasons
2016-07-01,S08000030,75plus,1274,41,Health and Social Care Reasons
2016-07-01,S08000030,75plus,99,3,Patient and Family Related Reasons
2016-07-01,S08000030,75plus,479,15,Code 9 AWI
2016-07-01,S08000030,75plus,34,1,Code 9 Non-AWI
2016-07-01,S08000031,18plus,4421,143,All Delay Reasons
2016-07-01,S08000031,18plus,2937,95,Health and Social Care Reasons
2016-07-01,S08000031,18plus,128,4,Patient and Family Related Reasons
2016-07-01,S08000031,18plus,746,24,Code 9 AWI
2016-07-01,S08000031,18plus,610,20,Code 9 Non-AWI
2016-07-01,S08000031,18-74,2152,69,All Delay Reasons
2016-07-01,S08000031,18-74,1070,35,Health and Social Care Reasons
2016-07-01,S08000031,18-74,38,1,Patient and Family Related Reasons
2016-07-01,S08000031,18-74,465,15,Code 9 AWI
2016-07-01,S08000031,18-74,579,19,Code 9 Non-AWI
2016-07-01,S08000031,75plus,2269,73,All Delay Reasons
2016-07-01,S08000031,75plus,1867,60,Health and Social Care Reasons
2016-07-01,S08000031,75plus,90,3,Patient and Family Related Reasons
2016-07-01,S08000031,75plus,281,9,Code 9 AWI
2016-07-01,S08000031,75plus,31,1,Code 9 Non-AWI
2016-07-01,S08000032,18plus,6389,206,All Delay Reasons
2016-07-01,S08000032,18plus,5100,165,Health and Social Care Reasons
2016-07-01,S08000032,18plus,608,20,Patient and Family Related Reasons
2016-07-01,S08000032,18plus,544,18,Code 9 AWI
2016-07-01,S08000032,18plus,137,4,Code 9 Non-AWI
2016-07-01,S08000032,18-74,1635,53,All Delay Reasons
2016-07-01,S08000032,18-74,1317,42,Health and Social Care Reasons
2016-07-01,S08000032,18-74,0,0,Patient and Family Related Reasons
2016-07-01,S08000032,18-74,237,8,Code 9 AWI
2016-07-01,S08000032,18-74,81,3,Code 9 Non-AWI
2016-07-01,S08000032,75plus,4754,153,All Delay Reasons
2016-07-01,S08000032,75plus,3783,122,Health and Social Care Reasons
2016-07-01,S08000032,75plus,608,20,Patient and Family Related Reasons
2016-07-01,S08000032,75plus,307,10,Code 9 AWI
2016-07-01,S08000032,75plus,56,2,Code 9 Non-AWI
2016-07-01,S92000003,18plus,43919,1417,All Delay Reasons
2016-07-01,S92000003,18plus,32713,1055,Health and Social Care Reasons
2016-07-01,S92000003,18plus,1877,61,Patient and Family Related Reasons
2016-07-01,S92000003,18plus,5990,193,Code 9 AWI
2016-07-01,S92000003,18plus,3339,108,Code 9 Non-AWI
2016-07-01,S92000003,18-74,13145,424,All Delay Reasons
2016-07-01,S92000003,18-74,9114,294,Health and Social Care Reasons
2016-07-01,S92000003,18-74,214,7,Patient and Family Related Reasons
2016-07-01,S92000003,18-74,1761,57,Code 9 AWI
2016-07-01,S92000003,18-74,2056,66,Code 9 Non-AWI
2016-07-01,S92000003,75plus,30774,993,All Delay Reasons
2016-07-01,S92000003,75plus,23599,761,Health and Social Care Reasons
2016-07-01,S92000003,75plus,1663,54,Patient and Family Related Reasons
2016-07-01,S92000003,75plus,4229,136,Code 9 AWI
2016-07-01,S92000003,75plus,1283,41,Code 9 Non-AWI
2016-08-01,S08000015,18plus,2904,94,All Delay Reasons
2016-08-01,S08000015,18plus,2186,71,Health and Social Care Reasons
2016-08-01,S08000015,18plus,44,1,Patient and Family Related Reasons
2016-08-01,S08000015,18plus,450,15,Code 9 AWI
2016-08-01,S08000015,18plus,224,7,Code 9 Non-AWI
2016-08-01,S08000015,18-74,409,13,All Delay Reasons
2016-08-01,S08000015,18-74,262,8,Health and Social Care Reasons
2016-08-01,S08000015,18-74,0,0,Patient and Family Related Reasons
2016-08-01,S08000015,18-74,93,3,Code 9 AWI
2016-08-01,S08000015,18-74,54,2,Code 9 Non-AWI
2016-08-01,S08000015,75plus,2495,80,All Delay Reasons
2016-08-01,S08000015,75plus,1924,62,Health and Social Care Reasons
2016-08-01,S08000015,75plus,44,1,Patient and Family Related Reasons
2016-08-01,S08000015,75plus,357,12,Code 9 AWI
2016-08-01,S08000015,75plus,170,5,Code 9 Non-AWI
2016-08-01,S08000016,18plus,936,30,All Delay Reasons
2016-08-01,S08000016,18plus,683,22,Health and Social Care Reasons
2016-08-01,S08000016,18plus,75,2,Patient and Family Related Reasons
2016-08-01,S08000016,18plus,90,3,Code 9 AWI
2016-08-01,S08000016,18plus,88,3,Code 9 Non-AWI
2016-08-01,S08000016,18-74,280,9,All Delay Reasons
2016-08-01,S08000016,18-74,171,6,Health and Social Care Reasons
2016-08-01,S08000016,18-74,42,1,Patient and Family Related Reasons
2016-08-01,S08000016,18-74,0,0,Code 9 AWI
2016-08-01,S08000016,18-74,67,2,Code 9 Non-AWI
2016-08-01,S08000016,75plus,656,21,All Delay Reasons
2016-08-01,S08000016,75plus,512,17,Health and Social Care Reasons
2016-08-01,S08000016,75plus,33,1,Patient and Family Related Reasons
2016-08-01,S08000016,75plus,90,3,Code 9 AWI
2016-08-01,S08000016,75plus,21,1,Code 9 Non-AWI
2016-08-01,S08000017,18plus,929,30,All Delay Reasons
2016-08-01,S08000017,18plus,665,21,Health and Social Care Reasons
2016-08-01,S08000017,18plus,13,0,Patient and Family Related Reasons
2016-08-01,S08000017,18plus,251,8,Code 9 AWI
2016-08-01,S08000017,18plus,0,0,Code 9 Non-AWI
2016-08-01,S08000017,18-74,204,7,All Delay Reasons
2016-08-01,S08000017,18-74,154,5,Health and Social Care Reasons
2016-08-01,S08000017,18-74,13,0,Patient and Family Related Reasons
2016-08-01,S08000017,18-74,37,1,Code 9 AWI
2016-08-01,S08000017,18-74,0,0,Code 9 Non-AWI
2016-08-01,S08000017,75plus,725,23,All Delay Reasons
2016-08-01,S08000017,75plus,511,16,Health and Social Care Reasons
2016-08-01,S08000017,75plus,0,0,Patient and Family Related Reasons
2016-08-01,S08000017,75plus,214,7,Code 9 AWI
2016-08-01,S08000017,75plus,0,0,Code 9 Non-AWI
2016-08-01,S08000019,18plus,2985,96,All Delay Reasons
2016-08-01,S08000019,18plus,2186,71,Health and Social Care Reasons
2016-08-01,S08000019,18plus,125,4,Patient and Family Related Reasons
2016-08-01,S08000019,18plus,377,12,Code 9 AWI
2016-08-01,S08000019,18plus,297,10,Code 9 Non-AWI
2016-08-01,S08000019,18-74,1030,33,All Delay Reasons
2016-08-01,S08000019,18-74,664,21,Health and Social Care Reasons
2016-08-01,S08000019,18-74,31,1,Patient and Family Related Reasons
2016-08-01,S08000019,18-74,50,2,Code 9 AWI
2016-08-01,S08000019,18-74,285,9,Code 9 Non-AWI
2016-08-01,S08000019,75plus,1955,63,All Delay Reasons
2016-08-01,S08000019,75plus,1522,49,Health and Social Care Reasons
2016-08-01,S08000019,75plus,94,3,Patient and Family Related Reasons
2016-08-01,S08000019,75plus,327,11,Code 9 AWI
2016-08-01,S08000019,75plus,12,0,Code 9 Non-AWI
2016-08-01,S08000020,18plus,4965,160,All Delay Reasons
2016-08-01,S08000020,18plus,3815,123,Health and Social Care Reasons
2016-08-01,S08000020,18plus,227,7,Patient and Family Related Reasons
2016-08-01,S08000020,18plus,675,22,Code 9 AWI
2016-08-01,S08000020,18plus,248,8,Code 9 Non-AWI
2016-08-01,S08000020,18-74,1554,50,All Delay Reasons
2016-08-01,S08000020,18-74,1142,37,Health and Social Care Reasons
2016-08-01,S08000020,18-74,53,2,Patient and Family Related Reasons
2016-08-01,S08000020,18-74,173,6,Code 9 AWI
2016-08-01,S08000020,18-74,186,6,Code 9 Non-AWI
2016-08-01,S08000020,75plus,3411,110,All Delay Reasons
2016-08-01,S08000020,75plus,2673,86,Health and Social Care Reasons
2016-08-01,S08000020,75plus,174,6,Patient and Family Related Reasons
2016-08-01,S08000020,75plus,502,16,Code 9 AWI
2016-08-01,S08000020,75plus,62,2,Code 9 Non-AWI
2016-08-01,S08000022,18plus,4277,138,All Delay Reasons
2016-08-01,S08000022,18plus,2365,76,Health and Social Care Reasons
2016-08-01,S08000022,18plus,485,16,Patient and Family Related Reasons
2016-08-01,S08000022,18plus,588,19,Code 9 AWI
2016-08-01,S08000022,18plus,839,27,Code 9 Non-AWI
2016-08-01,S08000022,18-74,861,28,All Delay Reasons
2016-08-01,S08000022,18-74,344,11,Health and Social Care Reasons
2016-08-01,S08000022,18-74,88,3,Patient and Family Related Reasons
2016-08-01,S08000022,18-74,84,3,Code 9 AWI
2016-08-01,S08000022,18-74,345,11,Code 9 Non-AWI
2016-08-01,S08000022,75plus,3416,110,All Delay Reasons
2016-08-01,S08000022,75plus,2021,65,Health and Social Care Reasons
2016-08-01,S08000022,75plus,397,13,Patient and Family Related Reasons
2016-08-01,S08000022,75plus,504,16,Code 9 AWI
2016-08-01,S08000022,75plus,494,16,Code 9 Non-AWI
2016-08-01,S08000024,18plus,9608,310,All Delay Reasons
2016-08-01,S08000024,18plus,8311,268,Health and Social Care Reasons
2016-08-01,S08000024,18plus,152,5,Patient and Family Related Reasons
2016-08-01,S08000024,18plus,927,30,Code 9 AWI
2016-08-01,S08000024,18plus,218,7,Code 9 Non-AWI
2016-08-01,S08000024,18-74,2992,97,All Delay Reasons
2016-08-01,S08000024,18-74,2584,83,Health and Social Care Reasons
2016-08-01,S08000024,18-74,27,1,Patient and Family Related Reasons
2016-08-01,S08000024,18-74,257,8,Code 9 AWI
2016-08-01,S08000024,18-74,124,4,Code 9 Non-AWI
2016-08-01,S08000024,75plus,6616,213,All Delay Reasons
2016-08-01,S08000024,75plus,5727,185,Health and Social Care Reasons
2016-08-01,S08000024,75plus,125,4,Patient and Family Related Reasons
2016-08-01,S08000024,75plus,670,22,Code 9 AWI
2016-08-01,S08000024,75plus,94,3,Code 9 Non-AWI
2016-08-01,S08000025,18plus,143,5,All Delay Reasons
2016-08-01,S08000025,18plus,58,2,Health and Social Care Reasons
2016-08-01,S08000025,18plus,0,0,Patient and Family Related Reasons
2016-08-01,S08000025,18plus,85,3,Code 9 AWI
2016-08-01,S08000025,18plus,0,0,Code 9 Non-AWI
2016-08-01,S08000025,18-74,39,1,All Delay Reasons
2016-08-01,S08000025,18-74,22,1,Health and Social Care Reasons
2016-08-01,S08000025,18-74,0,0,Patient and Family Related Reasons
2016-08-01,S08000025,18-74,17,1,Code 9 AWI
2016-08-01,S08000025,18-74,0,0,Code 9 Non-AWI
2016-08-01,S08000025,75plus,104,3,All Delay Reasons
2016-08-01,S08000025,75plus,36,1,Health and Social Care Reasons
2016-08-01,S08000025,75plus,0,0,Patient and Family Related Reasons
2016-08-01,S08000025,75plus,68,2,Code 9 AWI
2016-08-01,S08000025,75plus,0,0,Code 9 Non-AWI
2016-08-01,S08000026,18plus,253,8,All Delay Reasons
2016-08-01,S08000026,18plus,253,8,Health and Social Care Reasons
2016-08-01,S08000026,18plus,0,0,Patient and Family Related Reasons
2016-08-01,S08000026,18plus,0,0,Code 9 AWI
2016-08-01,S08000026,18plus,0,0,Code 9 Non-AWI
2016-08-01,S08000026,18-74,46,1,All Delay Reasons
2016-08-01,S08000026,18-74,46,1,Health and Social Care Reasons
2016-08-01,S08000026,18-74,0,0,Patient and Family Related Reasons
2016-08-01,S08000026,18-74,0,0,Code 9 AWI
2016-08-01,S08000026,18-74,0,0,Code 9 Non-AWI
2016-08-01,S08000026,75plus,207,7,All Delay Reasons
2016-08-01,S08000026,75plus,207,7,Health and Social Care Reasons
2016-08-01,S08000026,75plus,0,0,Patient and Family Related Reasons
2016-08-01,S08000026,75plus,0,0,Code 9 AWI
2016-08-01,S08000026,75plus,0,0,Code 9 Non-AWI
2016-08-01,S08000028,18plus,891,29,All Delay Reasons
2016-08-01,S08000028,18plus,270,9,Health and Social Care Reasons
2016-08-01,S08000028,18plus,0,0,Patient and Family Related Reasons
2016-08-01,S08000028,18plus,120,4,Code 9 AWI
2016-08-01,S08000028,18plus,501,16,Code 9 Non-AWI
2016-08-01,S08000028,18-74,179,6,All Delay Reasons
2016-08-01,S08000028,18-74,121,4,Health and Social Care Reasons
2016-08-01,S08000028,18-74,0,0,Patient and Family Related Reasons
2016-08-01,S08000028,18-74,58,2,Code 9 AWI
2016-08-01,S08000028,18-74,0,0,Code 9 Non-AWI
2016-08-01,S08000028,75plus,712,23,All Delay Reasons
2016-08-01,S08000028,75plus,149,5,Health and Social Care Reasons
2016-08-01,S08000028,75plus,0,0,Patient and Family Related Reasons
2016-08-01,S08000028,75plus,62,2,Code 9 AWI
2016-08-01,S08000028,75plus,501,16,Code 9 Non-AWI
2016-08-01,S08000029,18plus,3823,123,All Delay Reasons
2016-08-01,S08000029,18plus,2906,94,Health and Social Care Reasons
2016-08-01,S08000029,18plus,62,2,Patient and Family Related Reasons
2016-08-01,S08000029,18plus,675,22,Code 9 AWI
2016-08-01,S08000029,18plus,180,6,Code 9 Non-AWI
2016-08-01,S08000029,18-74,1236,40,All Delay Reasons
2016-08-01,S08000029,18-74,958,31,Health and Social Care Reasons
2016-08-01,S08000029,18-74,31,1,Patient and Family Related Reasons
2016-08-01,S08000029,18-74,98,3,Code 9 AWI
2016-08-01,S08000029,18-74,149,5,Code 9 Non-AWI
2016-08-01,S08000029,75plus,2587,83,All Delay Reasons
2016-08-01,S08000029,75plus,1948,63,Health and Social Care Reasons
2016-08-01,S08000029,75plus,31,1,Patient and Family Related Reasons
2016-08-01,S08000029,75plus,577,19,Code 9 AWI
2016-08-01,S08000029,75plus,31,1,Code 9 Non-AWI
2016-08-01,S08000030,18plus,3145,101,All Delay Reasons
2016-08-01,S08000030,18plus,2110,68,Health and Social Care Reasons
2016-08-01,S08000030,18plus,73,2,Patient and Family Related Reasons
2016-08-01,S08000030,18plus,552,18,Code 9 AWI
2016-08-01,S08000030,18plus,410,13,Code 9 Non-AWI
2016-08-01,S08000030,18-74,913,29,All Delay Reasons
2016-08-01,S08000030,18-74,395,13,Health and Social Care Reasons
2016-08-01,S08000030,18-74,37,1,Patient and Family Related Reasons
2016-08-01,S08000030,18-74,122,4,Code 9 AWI
2016-08-01,S08000030,18-74,359,12,Code 9 Non-AWI
2016-08-01,S08000030,75plus,2232,72,All Delay Reasons
2016-08-01,S08000030,75plus,1715,55,Health and Social Care Reasons
2016-08-01,S08000030,75plus,36,1,Patient and Family Related Reasons
2016-08-01,S08000030,75plus,430,14,Code 9 AWI
2016-08-01,S08000030,75plus,51,2,Code 9 Non-AWI
2016-08-01,S08000031,18plus,4747,153,All Delay Reasons
2016-08-01,S08000031,18plus,3131,101,Health and Social Care Reasons
2016-08-01,S08000031,18plus,163,5,Patient and Family Related Reasons
2016-08-01,S08000031,18plus,992,32,Code 9 AWI
2016-08-01,S08000031,18plus,461,15,Code 9 Non-AWI
2016-08-01,S08000031,18-74,2144,69,All Delay Reasons
2016-08-01,S08000031,18-74,1048,34,Health and Social Care Reasons
2016-08-01,S08000031,18-74,77,2,Patient and Family Related Reasons
2016-08-01,S08000031,18-74,570,18,Code 9 AWI
2016-08-01,S08000031,18-74,449,14,Code 9 Non-AWI
2016-08-01,S08000031,75plus,2603,84,All Delay Reasons
2016-08-01,S08000031,75plus,2083,67,Health and Social Care Reasons
2016-08-01,S08000031,75plus,86,3,Patient and Family Related Reasons
2016-08-01,S08000031,75plus,422,14,Code 9 AWI
2016-08-01,S08000031,75plus,12,0,Code 9 Non-AWI
2016-08-01,S08000032,18plus,5945,192,All Delay Reasons
2016-08-01,S08000032,18plus,4510,145,Health and Social Care Reasons
2016-08-01,S08000032,18plus,637,21,Patient and Family Related Reasons
2016-08-01,S08000032,18plus,632,20,Code 9 AWI
2016-08-01,S08000032,18plus,166,5,Code 9 Non-AWI
2016-08-01,S08000032,18-74,1630,53,All Delay Reasons
2016-08-01,S08000032,18-74,1178,38,Health and Social Care Reasons
2016-08-01,S08000032,18-74,93,3,Patient and Family Related Reasons
2016-08-01,S08000032,18-74,322,10,Code 9 AWI
2016-08-01,S08000032,18-74,37,1,Code 9 Non-AWI
2016-08-01,S08000032,75plus,4315,139,All Delay Reasons
2016-08-01,S08000032,75plus,3332,107,Health and Social Care Reasons
2016-08-01,S08000032,75plus,544,18,Patient and Family Related Reasons
2016-08-01,S08000032,75plus,310,10,Code 9 AWI
2016-08-01,S08000032,75plus,129,4,Code 9 Non-AWI
2016-08-01,S92000003,18plus,45551,1469,All Delay Reasons
2016-08-01,S92000003,18plus,33449,1079,Health and Social Care Reasons
2016-08-01,S92000003,18plus,2056,66,Patient and Family Related Reasons
2016-08-01,S92000003,18plus,6414,207,Code 9 AWI
2016-08-01,S92000003,18plus,3632,117,Code 9 Non-AWI
2016-08-01,S92000003,18-74,13517,436,All Delay Reasons
2016-08-01,S92000003,18-74,9089,293,Health and Social Care Reasons
2016-08-01,S92000003,18-74,492,16,Patient and Family Related Reasons
2016-08-01,S92000003,18-74,1881,61,Code 9 AWI
